,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,Modulus
4723,0,0,56.66666667,0,20,0,0,23.33333333,0,0,0,0,0,0,0,0,0,120
4724,0,0,58.33333333,0,16.66666667,0,0,25,0,0,0,0,0,0,0,0,0,69.92595745
4725,0,0,60,0,13.33333333,0,0,26.66666667,0,0,0,0,0,0,0,0,0,123
4726,0,0,61.66666667,0,10,0,0,28.33333333,0,0,0,0,0,0,0,0,0,76.25
4727,0,0,63.33333333,0,6.666666667,0,0,30,0,0,0,0,0,0,0,0,0,67.5
4728,0,0,58.33333333,0,0,0,0,25,0,16.66666667,0,0,0,0,0,0,0,111.95
4729,0,0,60,0,0,0,0,26.66666667,0,13.33333333,0,0,0,0,0,0,0,109.5
4730,0,0,61.66666667,0,0,0,0,28.33333333,0,10,0,0,0,0,0,0,0,105.95
4731,0,0,58.33333333,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,25,106.9
4732,0,0,60,0,0,0,0,20,0,0,0,0,0,0,0,0,20,102.6
4733,0,38.7755102,60.20408163,0,0,0,0,1.020408163,0,0,0,0,0,0,0,0,0,79.764
4734,0,37.5,60.41666667,0,0,0,0,2.083333333,0,0,0,0,0,0,0,0,0,95
4735,0,36.17021277,60.63829787,0,0,0,0,3.191489362,0,0,0,0,0,0,0,0,0,78.69
4736,0,34.7826087,60.86956522,0,0,0,0,4.347826087,0,0,0,0,0,0,0,0,0,79.86666667
4737,0,33.33333333,61.11111111,0,0,0,0,5.555555556,0,0,0,0,0,0,0,0,0,71.73333333
4738,0,31.81818182,61.36363636,0,0,0,0,6.818181818,0,0,0,0,0,0,0,0,0,79.60333333
4739,0,30.23255814,61.62790698,0,0,0,0,8.139534884,0,0,0,0,0,0,0,0,0,60.4475
4740,0,28.57142857,61.9047619,0,0,0,0,9.523809524,0,0,0,0,0,0,0,0,0,140.5
4741,22.2,0,55.56666667,0,0,0,0,22.23333333,0,0,0,0,0,0,0,0,0,112.5
4742,0,36.17021277,57.44680851,0,6.382978723,0,0,0,0,0,0,0,0,0,0,0,0,133.8333333
4743,0,40,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.582
4744,0,38.7755102,59.18367347,0,2.040816327,0,0,0,0,0,0,0,0,0,0,0,0,104.6
4745,0,37.5,58.33333333,0,4.166666667,0,0,0,0,0,0,0,0,0,0,0,0,82.11
4746,0,34.7826087,56.52173913,0,8.695652174,0,0,0,0,0,0,0,0,0,0,0,0,93.535
4747,0,33.33333333,55.55555556,0,11.11111111,0,0,0,0,0,0,0,0,0,0,0,0,84.24
4748,0,0,58.92291447,0,11.75642379,0,0,23.72404083,0,0,0,0,0,0,0,0,5.596620908,141.5
4749,0,0,60.28368794,0,8.510638298,0,0,24.82269504,0,0,0,0,0,0,0,0,6.382978723,60.55625
4750,0,0,60.28368794,0,8.510638298,0,0,24.82269504,0,0,0,0,0,0,0,6.382978723,0,87.25
4751,0,0,60.28368794,0,8.510638298,0,0,24.82269504,0,0,0,0,0,6.382978723,0,0,0,85.215
4753,0,0,61.40350877,0,7.01754386,0,0,26.31578947,0,0,5.263157895,0,0,0,0,0,0,78
4754,0,0,62.06896552,0,6.896551724,0,0,27.5862069,0,0,3.448275862,0,0,0,0,0,0,77.65
4755,0,0,60.28368794,0,0,0,0,24.82269504,0,8.510638298,0,0,0,0,0,6.382978723,0,70.335
4756,0,0,60.28368794,0,0,0,0,24.82269504,0,8.510638298,6.382978723,0,0,0,0,0,0,47.35
4757,0,0,60.28368794,0,0,6.382978723,0,24.82269504,0,8.510638298,0,0,0,0,0,0,0,77.045
4758,0,0,56.60377358,0,0,0,0,22.29845626,0,18.18181818,0,0,0,2.915951973,0,0,0,60.01333333
4760,0,0,58.25938567,0,0,0,0,24.12969283,0,15.221843,0,0,0,2.389078498,0,0,0,61.02666667
4761,0,0,58.05114029,0,0,0,0,23.49689012,0,14.78921907,0,0,0,3.662750518,0,0,0,70.707
4762,0,0,55.66520468,0,0,0,0,19.11549708,0,15.57017544,0,0,0,9.649122807,0,0,0,50.835
4763,0,0,57.80812325,0,0,0,0,22.79411765,0,14.3557423,0,0,0,5.042016807,0,0,0,39.25
4764,0,0,57.54348598,0,0,0,0,22.04472843,0,13.91551296,0,0,0,6.49627263,0,0,0,75.315
4765,0,0,57.27665706,0,0,0,0,21.25360231,0,13.40057637,0,0,0,8.069164265,0,0,0,73
4766,0,0,59.91847826,0,0,0,0,25.95108696,0,12.22826087,0,0,0,1.902173913,0,0,0,73.33333333
4767,0,0,56.98610095,0,0,0,0,20.40965618,0,12.87490856,0,0,0,9.729334309,0,0,0,127.5
4768,0,0,56.74074074,0,0,0,0,19.7037037,0,12.44444444,0,0,0,11.11111111,0,0,0,65.5
4769,0,0,59.47258848,0,0,0,0,24.77446218,0,11.65857044,0,0,0,4.094378904,0,0,0,71.95
4770,0,0,58.94063278,0,0,0,0,23.39139708,0,11.02026306,0,0,0,6.647707074,0,0,0,52.41571429
4771,0,0,61.17129316,0,0,0,0,27.31888964,0,9.952606635,0,0,0,1.557210562,0,0,0,78.41333333
4774,0,0,60.92943201,0,0,0,0,26.5060241,0,9.294320138,0,0,0,3.270223752,0,0,0,62.1175
4775,0,0,58,0,0,0,0,20.96296296,0,9.925925926,0,0,0,11.11111111,0,0,0,106.9333333
4776,0,0,60.44959607,0,0,0,0,25.32490341,0,8.85142255,0,0,0,5.374077977,0,0,0,64.84666667
4777,0,0,59.37728938,0,0,0,0,22.74725275,0,7.985347985,0,0,0,9.89010989,0,0,0,106.35
4778,0,0,62.13260424,0,0,0,0,27.95625427,0,7.382091593,0,0,0,2.529049897,0,0,0,72
4779,0,0,60.93138998,0,0,0,0,25.38215428,0,7.038748667,0,0,0,6.647707074,0,0,0,81.175
4780,0,0,63.01463083,0,0,0,0,28.98945219,0,5.920381082,0,0,0,2.075535897,0,0,0,64.8
4781,0,0,62.35129461,0,0,0,0,27.36179146,0,5.318404479,0,0,0,4.968509447,0,0,0,69.64333333
4782,0,0,63.64263539,0,0,0,0,29.14798206,0,3.72542256,0,0,0,3.483959986,0,0,0,67.6
4783,0,0,60.71428571,0,0,0,7.142857143,17.85714286,0,0,0,0,0,14.28571429,0,0,0,87.1
4784,0,0,62.5,0,0,0,12.5,18.75,0,0,6.25,0,0,0,0,0,0,79.263
4785,0,0,61.97183099,0,0,0,5.633802817,21.12676056,0,0,11.26760563,0,0,0,0,0,0,57.1
4786,0,0,61.29032258,0,0,9.677419355,12.90322581,16.12903226,0,0,0,0,0,0,0,0,0,75.8
4787,0,0,60,0,0,0,0,20,0,0,10,0,0,0,0,10,0,59.3125
4788,0,0,60.83333333,0,11.66666667,0,0,19.16666667,0,0,0,8.333333333,0,0,0,0,0,81.0515
4789,0,0,59.16666667,0,15,0,0,17.5,0,0,0,8.333333333,0,0,0,0,0,73.3
4791,0,0,60.83333333,0,11.66666667,0,0,20.83333333,0,0,0,6.666666667,0,0,0,0,0,125
4792,0,0,58.33333333,0,16.66666667,0,0,18.33333333,0,0,0,6.666666667,0,0,0,0,0,75.44
4793,0,0,56.66666667,0,20,0,0,16.66666667,0,0,0,6.666666667,0,0,0,0,0,107
4794,0,14.28571429,57.14285714,0,0,0,0,14.28571429,0,14.28571429,0,0,0,0,0,0,0,48.06333333
4795,0,15.99932799,59.99887999,0,0,0,0,15.99932799,0,8.00246402,0,0,0,0,0,0,0,75.1
4796,0,21.05263158,57.89473684,0,0,0,0,10.52631579,0,10.52631579,0,0,0,0,0,0,0,43.90666667
4797,0,0,58.82352941,0,11.76470588,0,11.76470588,17.64705882,0,0,0,0,0,0,0,0,0,74.85
4798,0,0,55.69620253,0,20.25316456,0,5.063291139,18.98734177,0,0,0,0,0,0,0,0,0,78.805
4799,0,0,58.62068966,0,11.49425287,0,13.79310345,16.09195402,0,0,0,0,0,0,0,0,0,111.8666667
4800,0,0,59.375,0,12.5,0,6.25,21.875,0,0,0,0,0,0,0,0,0,128
4801,0,0,56.94444444,0,13.88888889,0,16.66666667,12.5,0,0,0,0,0,0,0,0,0,78.5
4802,0,0,57.14285714,0,14.28571429,0,14.28571429,14.28571429,0,0,0,0,0,0,0,0,0,57.99071429
4803,0,0,57.35294118,0,14.70588235,0,11.76470588,16.17647059,0,0,0,0,0,0,0,0,0,54.27833333
4804,0,0,57.57575758,0,15.15151515,0,9.090909091,18.18181818,0,0,0,0,0,0,0,0,0,82.8
4805,0,0,57.8125,0,15.625,0,6.25,20.3125,0,0,0,0,0,0,0,0,0,71.97666667
4806,0,0,58.06451613,0,16.12903226,0,3.225806452,22.58064516,0,0,0,0,0,0,0,0,0,46.315
4807,0,0,61.29032258,0,9.677419355,0,3.225806452,25.80645161,0,0,0,0,0,0,0,0,0,61.2
4808,0,30.23255814,54.65116279,0,13.95348837,0,0,1.162790698,0,0,0,0,0,0,0,0,0,60.87428571
4809,0,28.57142857,54.76190476,0,14.28571429,0,0,2.380952381,0,0,0,0,0,0,0,0,0,80.18666667
4810,0,26.82926829,54.87804878,0,14.63414634,0,0,3.658536585,0,0,0,0,0,0,0,0,0,52.90428571
4811,0,25,55,0,15,0,0,5,0,0,0,0,0,0,0,0,0,74.8
4812,0,23.07692308,55.12820513,0,15.38461538,0,0,6.41025641,0,0,0,0,0,0,0,0,0,84.35
4813,0,18.91891892,55.40540541,0,16.21621622,0,0,9.459459459,0,0,0,0,0,0,0,0,0,88.16666667
4814,0,16.66666667,55.55555556,0,16.66666667,0,0,11.11111111,0,0,0,0,0,0,0,0,0,59.83375
4815,0,14.28571429,55.71428571,0,17.14285714,0,0,12.85714286,0,0,0,0,0,0,0,0,0,60.67666667
4816,0,11.76470588,55.88235294,0,17.64705882,0,0,14.70588235,0,0,0,0,0,0,0,0,0,66.05
4817,0,9.090909091,56.06060606,0,18.18181818,0,0,16.66666667,0,0,0,0,0,0,0,0,0,78
4818,0,6.25,56.25,0,18.75,0,0,18.75,0,0,0,0,0,0,0,0,0,78
4819,0,3.225806452,56.4516129,0,19.35483871,0,0,20.96774194,0,0,0,0,0,0,0,0,0,80
4820,0,31.81818182,55.68181818,0,11.36363636,0,0,1.136363636,0,0,0,0,0,0,0,0,0,81
4821,0,30.23255814,55.81395349,0,11.62790698,0,0,2.325581395,0,0,0,0,0,0,0,0,0,76
4822,0,28.57142857,55.95238095,0,11.9047619,0,0,3.571428571,0,0,0,0,0,0,0,0,0,95.9
4823,0,25,56.25,0,12.5,0,0,6.25,0,0,0,0,0,0,0,0,0,51.85
4824,0,31.81818182,56.81818182,0,9.090909091,0,0,2.272727273,0,0,0,0,0,0,0,0,0,57.13
4825,0,28.57142857,57.14285714,0,9.523809524,0,0,4.761904762,0,0,0,0,0,0,0,0,0,69.55
4826,0,25,57.5,0,10,0,0,7.5,0,0,0,0,0,0,0,0,0,56.11333333
4827,0,21.05263158,57.89473684,0,10.52631579,0,0,10.52631579,0,0,0,0,0,0,0,0,0,83.9
4828,0,16.66666667,58.33333333,0,11.11111111,0,0,13.88888889,0,0,0,0,0,0,0,0,0,64.20333333
4829,0,11.76470588,58.82352941,0,11.76470588,0,0,17.64705882,0,0,0,0,0,0,0,0,0,64.71
4830,0,9.090909091,59.09090909,0,12.12121212,0,0,19.6969697,0,0,0,0,0,0,0,0,0,85.53333333
4831,0,6.25,59.375,0,12.5,0,0,21.875,0,0,0,0,0,0,0,0,0,71.87
4832,0,3.225806452,59.67741935,0,12.90322581,0,0,24.19354839,0,0,0,0,0,0,0,0,0,76.075
4833,0,36.17021277,58.5106383,0,4.255319149,0,0,1.063829787,0,0,0,0,0,0,0,0,0,132.5
