,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,Expansion
1391,0,8.099912936,63.16911345,0,0,1.471073884,5.524032544,19.52625417,0,0,0,0,0,0,0,2.209613018,0,37.9
1392,0,7.393625133,63.03492451,0,0,0.735092268,5.54521885,19.60042702,0,0,0.738142443,0,0,0.735092268,0,2.217477505,0,42.9
1393,0,7.366493561,63.16753219,0,0,0.738450455,6.26181971,19.52090775,0,0,0,0,0,1.473899078,0,1.470897247,0,39.7
1394,0,8.63330755,62.58701731,0,3.111798655,0,3.5818409,20.62235973,0,0,0,0,0,0,0,1.463675849,0,49.9
1396,0,30.67084446,58.98140538,0,0,0,0,2.627388535,0,0,0,0,0,0,0,7.720361619,0,66.5
1397,0,28.33943393,59.02459143,0,0,0,2.062174563,2.848378615,0,0,0,0,0,0,0,7.725421457,0,80.9
1398,0,25.00697895,59.02238848,0,0,0,1.122215398,4.980179778,0,0,0,0,0,0,0,9.868237396,0,85.4
1399,0,28.25919259,58.34147596,0,2.597068655,0,1.038827462,3.332476215,0,0,0,0,0,0,0,6.430959115,0,78
1400,0,28.27976344,58.35176138,0,0,0,1.007971201,3.353047056,0,2.586783235,0,0,0,0,0,6.420673695,0,87.3
1401,0,28.66369768,59.10878454,0,0,0,1.031330573,3.370054952,0,0,0,0,0,0,0,5.219157747,2.606974503,71.9
1402,0,27.13554225,58.8063179,0,0,0,1.062014034,3.513857658,0,0,0,0,0,0,0,6.773048685,2.709219474,81.1
1403,5.309968066,26.35982159,57.24314481,0,0,0,1.066216252,3.428254731,0,0,0,0,0,0,0,6.592594548,0,84.8
1404,2.571619606,28.27238595,58.3551921,0,0,0,1.018361364,3.350820347,0,0,0,0,0,0,0,6.431620635,0,81.3
1405,5.13835999,27.90555979,57.58568165,0,0,0,1.015486164,3.28002031,0,0,0,0,0,0,0,5.074892105,0,77.6
1406,2.642165641,28.06717018,58.16657583,0,0,0,1.048560824,3.096368969,0,0,0,0,0,0,0,6.979158556,0,80.8
1407,2.591414944,27.14891362,58.11340753,0,0,0,1.038685745,3.42872284,0,0,0,0,0,0,0,7.678855326,0,85
1408,1.990716864,28.17947396,58.31356369,0,0.072202166,0,1.031459515,3.31872099,0,0.53120165,0,0,0,0.152140278,0,6.410520887,0,77.9
1409,1.537033216,28.14627605,58.30668455,0,0.072209614,0,1.036723747,3.337115742,0,1.021250258,0,0,0,0.154734888,0,6.387971941,0,79.1
1410,1.237623762,28.17141089,58.31528465,0,0.072194719,0,1.041666667,3.318378713,0,1.278877888,0,0,0,0.15470297,0,6.409859736,0,79.9
1411,1.985098868,28.20902833,58.35675063,0,0.510453995,0,1.02606409,3.34373147,0,0,0,0,0,0.152104978,0,6.41676764,0,77.9
1412,1.526323931,28.19574073,58.32774713,0,1.031299954,0,1.031299954,3.320785851,0,0,0,0,0,0.152116743,0,6.414685711,0,78.1
1413,2.558811391,29.17354519,58.30581923,0,0.072224515,0,0,3.340383822,0,0,0,0,0,0.149607924,0,6.399607924,0,78.2
1414,1.268609771,28.56468861,58.14111973,0,0.152023485,0,0,3.365485427,0,1.310547285,0,0,0,0.18347662,0,7.014049067,0,83.6
1416,0,18.07361002,59.63978074,0,0,0,0,9.039937353,0,0,0,0,0,0,1.202819107,2.408770556,9.635082224,74.6
1417,0,13.66091073,59.83398893,0,0,0,0,10.10734049,0,0,0,1.363424228,0,0,1.366757784,0,13.66757784,73.8
1418,0,18.07417617,59.63851648,0,0,0,0,9.037088084,0,0,0,0,0,0,1.202856785,0,12.04736249,74.8
1437,2.897643709,7.460024408,60.43433364,0,3.485934224,0,0.638357793,20.16772538,0,2.065275214,0,0,0,0,0.876177363,1.974528272,0,75
1442,0,7.366935847,63.16832278,0,0,0.73549278,6.262195671,19.52207979,0,0,1.473987572,0,0,0.73549278,0,0.73549278,0,36.6
1443,0,7.366493561,63.16753219,0,0,0.735448624,6.26181971,19.52090775,0,0,1.473899078,0,0,0,0,1.473899078,0,37.5
1444,0,7.315137082,63.43652684,0,0,0.732734933,4.750564817,20.84020272,0,0,0,0,0,0,0,2.924833608,0,41.2
1445,0,8.104944016,63.16753219,0,0,0.735448624,5.523369255,19.52090775,0,0,0,0,0,0,0,2.947798157,0,40.8
1446,0,8.104944016,63.16753219,0,0,0.735448624,5.523369255,19.52090775,0,0,0,0,0,1.473899078,0,1.473899078,0,39.9
1447,0,8.104944016,63.16753219,0,0,0,5.523369255,19.52090775,0,0,0,0,0,0.735448624,0,2.947798157,0,43.5
1448,0,8.104944016,63.16753219,0,0,1.473899078,5.523369255,19.52090775,0,0,0,0,0,0,0,2.209347702,0,37.9
1449,0,7.983269685,62.97508638,0,0,0.727404983,5.443413954,19.23683094,0,0,0.727404983,0,0,0.727404983,0,2.179184094,0,42.9
1450,0,7.503171631,63.22720957,0,0,0.749108923,5.630399323,19.88763366,0,0,0,0,0,1.501238446,0,1.501238446,0,39.7
1451,0,9.614010007,63.02418394,0,0,0,4.771265189,18.85573028,0,0,0,0,0,0,0,3.734810579,0,46.3
1452,0,9.614010007,63.02418394,0,0,0.738622826,4.771265189,18.85573028,0,0,0,0,0,0,0,2.996187753,0,43.3
1453,0,8.104944016,63.16753219,0,0,0,5.523369255,19.52090775,0,0,0,0,0,0,0,3.683246781,0,45.5
1454,0,8.810252371,63.29566456,0,0,0.733177811,3.999151695,20.18662708,0,0,1.469385282,0,0,0,0,1.505741206,0,38.4
1455,0,8.077564005,63.29647023,0,0,1.099833359,4.73261627,20.18785033,0,0,1.099833359,0,0,0,0,1.50583245,0,36.9
1457,0,8.200651626,62.75895986,0,0,1.49074814,4.807278539,19.01395463,0,0,1.49074814,0,0,0,0,2.237659064,0,44.3
1490,0,7.845540913,62.48850751,0,4.903463071,0,0.980692614,21.60588416,0,0,0.36775973,0,0,0,1.409745633,0.398406375,0,52.9
1491,0,7.591062137,62.96296296,0,4.285277013,0,0.979491889,22.31404959,0,0,0,0,0,0,1.469237833,0.39791858,0,46.5
1492,0,7.428040854,62.76694522,0,4.333023832,0,0.804704426,22.74837512,0,0,0,0,0,0,0.835654596,1.083255958,0,49.7
1493,0.848010437,6.392694064,61.31767776,0,3.652968037,0,0.717547293,20.61317678,0,0.521852577,0,0,0,0,0.978473581,4.957599478,0,75.4
1494,2.879679479,7.455865782,60.43257794,0,3.51195693,0,0.626017278,20.17653687,0,2.065857018,0,0,0,0,0.876424189,1.975084512,0,75
1495,4.520853231,6.558420885,59.12129895,0,3.693091372,0,0.891435848,18.91117479,0,2.419611589,0,0,0,0,0.923272843,2.960840497,0,87.8
1496,0,10.98901099,62.36263736,0,0,0.549450549,9.340659341,14.56043956,0,0,1.098901099,0,0,0.549450549,0,0.549450549,0,36.6
1497,0,12.37704457,62.08195155,0,0,1.124163903,7.256477994,14.34714181,0,0,1.124163903,0,0,0,0,1.689056264,0,44.3
1499,0,12.2324159,62.49652488,0,0,0.834028357,7.17264387,15.29051988,0,0,0.834028357,0,0,0,0,1.139838755,0,36.9
1500,0,13.34445371,62.49652488,0,0,0.556018905,6.060606061,15.29051988,0,0,1.112037809,0,0,0,0,1.139838755,0,38.4
1501,0,12.08791209,62.36263736,0,0,0,8.241758242,14.56043956,0,0,0,0,0,0,0,2.747252747,0,45.5
1502,0,14.14196356,62.22463965,0,0,0.543921675,7.016589611,13.87000272,0,0,0,0,0,0,0,2.202882785,0,43.3
1503,0,14.14196356,62.22463965,0,0,0,7.016589611,13.87000272,0,0,0,0,0,0,0,2.74680446,0,46.3
1504,0,10.98901099,62.36263736,0,0,0.549450549,9.340659341,14.56043956,0,0,0,0,0,1.098901099,0,1.098901099,0,39.7
1505,0,11.17318436,62.29050279,0,0,0.558659218,8.379888268,14.80446927,0,0,0.558659218,0,0,0.558659218,0,1.675977654,0,42.9
1506,0,12.08791209,62.36263736,0,0,1.098901099,8.241758242,14.56043956,0,0,0,0,0,0,0,1.648351648,0,37.9
1507,0,12.08791209,62.36263736,0,0,0,8.241758242,14.56043956,0,0,0,0,0,0.549450549,0,2.197802198,0,43.5
1508,0,12.08791209,62.36263736,0,0,0.549450549,8.241758242,14.56043956,0,0,0,0,0,1.098901099,0,1.098901099,0,39.9
1509,0,11.23595506,62.64044944,0,0,0.561797753,7.303370787,16.01123596,0,0,0,0,0,0,0,2.247191011,0,41.2
1510,0,10.98901099,62.36263736,0,0,0.549450549,9.340659341,14.56043956,0,0,1.098901099,0,0,0,0,1.098901099,0,37.5
1529,0,16.64708089,58.33229154,0,0,0,16.68208526,0,0,0,0,0,0,0,0,8.338542318,0,71.5
1530,0,16.66333467,58.33666533,0,0,0,16.68332667,0,0,0,0,0,0,8.316673331,0,0,0,66
1531,0,16.67666467,58.33583283,0,0,0,16.66666667,0,0,0,8.320835833,0,0,0,0,0,0,58.8
1532,5.555555556,16.66666667,61.11111111,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,59
1533,18.75,6.25,56.25,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0,140
1534,0,0,61.76470588,0,11.76470588,0,0,16.91176471,5.882352941,0,0,0,0,0,3.676470588,0,0,89.8
1535,0,0,61.76470588,0,11.76470588,0,0,16.17647059,5.882352941,0,0,0,0,0,4.411764706,0,0,96.8
1536,0,0,61.76470588,0,11.76470588,0,0,15.44117647,5.882352941,0,0,0,0,0,5.147058824,0,0,84.1
1537,0,0,61.76470588,0,11.76470588,0,0,14.70588235,5.882352941,0,0,0,0,0,5.882352941,0,0,79
1538,0,0,62.5,0,11.11111111,0,0,13.19444444,8.333333333,0,0,0,0,0,4.861111111,0,0,79
1539,0,0,62.5,0,11.11111111,0,0,12.5,8.333333333,0,0,0,0,0,5.555555556,0,0,85.2
1540,0,0,62.34392736,0,11.12372304,0,0,12.06015891,7.434733258,0,0,0,0,0,7.037457435,0,0,77.1
1541,0,0,62.5,0,11.11111111,0,0,11.11111111,8.333333333,0,0,0,0,0,6.944444444,0,0,81.2
1542,0,0,58.82352941,0,17.64705882,0,0,13.97058824,5.882352941,0,0,0,0,0,3.676470588,0,0,138.4
1543,0,0,58.82352941,0,17.64705882,0,0,13.23529412,5.882352941,0,0,0,0,0,4.411764706,0,0,139.3
1544,0,0,58.82352941,0,17.64705882,0,0,12.5,5.882352941,0,0,0,0,0,5.147058824,0,0,118.6
1545,0,0,59.72222222,0,16.66666667,0,0,11.80555556,8.333333333,0,0,0,0,0,3.472222222,0,0,136.8
1546,0,0,59.72222222,0,16.66666667,0,0,11.11111111,8.333333333,0,0,0,0,0,4.166666667,0,0,118.9
1547,0,0,59.72222222,0,16.66666667,0,0,10.41666667,8.333333333,0,0,0,0,0,4.861111111,0,0,118.3
1548,0,0,59.72222222,0,16.66666667,0,0,9.722222222,8.333333333,0,0,0,0,0,5.555555556,0,0,115.3
1549,0,0,60.52631579,0,15.78947368,0,0,8.552631579,10.52631579,0,0,0,0,0,4.605263158,0,0,125
1550,0,0,60.52631579,0,15.78947368,0,0,7.894736842,10.52631579,0,0,0,0,0,5.263157895,0,0,119.3
1551,0,0,60.6223176,0,15.34334764,0,0,7.430257511,9.763948498,0,0,0,0,0,6.840128755,0,0,116.9
1552,0,12.5716602,62.073658,0,4.806300307,0,0.56749088,19.98089061,0,0,0,0,0,0,0,0,0,51.3
1553,0,14.10109133,62.07352096,0,3.153360138,1.421596783,1.154508903,17.22860425,0,0,0,0,0,0,0.867317634,0,0,42.9
1554,0,13.68904818,62.06029425,0,3.208370668,0.884469752,1.173512154,17.42636645,0,0,0.569413533,0,0,0,0.867127208,0.121397809,0,45.5
1601,4.199619719,14.90809887,57.72548155,0,1.34476012,0,7.881176114,7.382402381,0,1.107773706,2.722588112,0,0,0,0,2.728099424,0,81
1602,2.719373525,16.53078738,57.67270972,0,1.308732032,0,7.659300579,6.667024244,0,2.805192019,2.646964171,0,0,0,0,1.989916327,0,82.3
1603,2.693439128,15.78819529,57.62016571,0,1.948560171,0,7.578333738,7.267967506,0,2.779801905,2.617871697,0,0,0,0,1.705664858,0,85
1604,2.701682485,15.84339948,57.37435289,0,1.957506471,0,7.608930112,6.959124245,0,3.213977567,2.628882657,0,0,0,0,1.71214409,0,87.6
1605,2.744527122,16.07893885,57.47870161,0,1.321039577,0,7.721341529,6.721125849,0,3.262158956,2.666343147,0,0,0,0,2.005823358,0,85.7
1606,2.75351672,16.1347373,57.36402471,0,1.322341033,0,6.938209126,7.085135907,0,3.711261666,2.677332463,0,0,0,0,2.01344108,0,89.4
1607,2.783906731,15.73370379,57.23625072,0,1.340197761,0,7.436463185,6.829015826,0,3.759091281,2.710359293,0,0,0,0,2.171011413,0,89.7
1608,2.819543686,13.6176787,57.33715894,0,1.561508539,0,8.469666455,7.664082545,0,3.685822275,2.742295914,0,0,0,0,2.102242944,0,88.2
1609,2.817453649,13.31989021,57.60656472,0,2.716630258,0,7.690584216,8.592393435,0,2.234918501,2.741836106,0,0,0,0,2.279728897,0,87.4
1610,2.88227484,12.37552556,57.30803275,0,1.598805045,0,8.956627572,8.317658774,0,4.254259792,1.919672494,0,0,0,0,2.387143173,0,93.6
1611,3.562657031,12.60198176,57.36103661,0,1.64864636,0.527905598,7.667334782,8.864297208,0,3.342461113,1.99305536,0,0,0,0,2.430624171,0,90.1
1612,9.539087341,11.69325962,56.52410553,0,0,0,8.427626114,7.757311868,0,0,3.483342405,0,0,0,0,2.575267123,0,87.2
1613,9.028844513,13.51197588,56.59668885,0,0,0.540479035,7.373271889,7.265176082,0,0,3.362348524,0,0,0,0,2.321215224,0,85.5
1677,0,2.363114294,61.94923925,0,1.412587874,2.970395063,5.663553253,20.92148256,0,0.660087792,2.650252484,0,0,0,0,0,1.409287435,50
1678,0,1.714912426,61.65376051,0,1.023629898,5.42390907,7.019176443,19.69158164,0,0.478580212,1.970819901,0,0,0,0,0,1.023629898,46.8
1679,0,1.406854247,61.51153487,0,0.840112015,6.590878784,7.667689025,19.10254701,0,0.393385785,1.650220029,0,0,0,0,0,0.836778237,49.3
1680,0,1.10367893,61.37458194,0,0.662207358,7.725752508,8.294314381,18.53511706,0,0.307692308,1.337792642,0,0,0,0,0,0.658862876,45.1
1681,0,0.538231238,61.11279308,0,0.322938743,9.8832711,9.486325563,17.44878393,0,0.14801359,0.740067952,0,0,0,0,0,0.319574797,44.3
1722,0,6.538962993,56.86490823,0,7.347975796,0,0,16.24043058,0,5.522682446,0,0,0,0,0.655233511,0.635175342,6.194631097,127
1724,0,6.760620228,56.33513841,0,7.594766405,0,0,15.67051226,0,5.711210521,0,0,0,0,0.272442905,0.874508089,6.780801184,130
1727,0,5.012857878,55.55974627,0,7.879307389,0,0,16.25578604,0,7.406137494,0,0,0,0,0,0.226298646,7.659866278,137
1741,0,3.391735537,61.91735537,0,1.976859504,1.46446281,3.887603306,21.58347107,0,0.8,3.117355372,0,0,0,0,0,1.861157025,72
1742,0,3.335330537,63.03175554,0,0,1.501231609,4.027694561,22.38199854,0,0,3.235470342,0,0,0,0,0.645762599,1.840756275,63
1796,0,35.73085847,58.93271462,0,0,0,0,0,0,0,0,0,0,0,0,5.336426914,0,87
1797,0,34.91914694,59.10475744,0,0,0,0,0.749941411,0,0,0,0,0,0,0,4.077806421,1.148347785,77.8
1798,0,34.18439716,59.26713948,0,0,0,0,1.442080378,0,0,0,0,0,0,0,2.884160757,2.222222222,74.4
1799,0,35.9764386,59.35659266,0,0,0,0,0.724966017,0,0,0,0,0,0,0,2.854553693,1.087449026,72.9
1800,0,35.23221231,59.50583391,0,0,0,0,1.395561656,0,0,0,0,0,0,0,1.715854496,2.150537634,69.9
1801,0,34.52914798,59.19282511,0,0,0,2.242152466,0,0,0,0,0,0,0,0,4.035874439,0,76.6
1802,0,35.73085847,58.93271462,0,0,0,0,0,0,0,1.160092807,0,0,0,0,4.176334107,0,84.9
1803,0,33.77918839,59.35162095,0,0,0,2.176377239,0.72545908,0,0,0,0,0,0,0,2.856495126,1.110859216,72.4
1804,0,34.91914694,59.10475744,0,0,0,0,0.749941411,0,0,1.124912116,0,0,0,0,2.952894305,1.148347785,76.8
1805,0,37.63066202,59.40766551,0,0,0,0,0,0,0,0,0,0,0,0,2.961672474,0,69.3
1806,0,36.12679114,57.83760313,0,0,0,0,0,0,4.776378637,0,0,0,0,0,1.259227095,0,87.2
1807,0,36.85152057,59.21288014,0,0,0,0,0,0,0,0,0,0,0,0,3.935599284,0,75.5
1808,0,35.0056243,57.50281215,0,0,0,0,0,0,4.994375703,0,0,0,0,0,2.497187852,0,91.9
1809,0,35.79532299,58.94883075,0,0,0,0,0,0,0,0,0,0,0,0,5.255846261,0,76.9
1810,0,33.86046512,57.11627907,0,5.395348837,0,0,0,0,0,0,0,0,0,0,3.627906977,0,93.5
1811,0.898557579,34.334358,58.73729014,0,0,0,0,0.756680066,0,0,0,0,0,0,0,4.11444786,1.158666351,78.1
1812,0.88598741,34.78666356,58.84821637,0,0,0,0,0.746094661,0,0,0,0,0,0,0,3.613896013,1.119141991,79
1813,1.810879205,34.60636594,58.57033408,0,0,0,0,0.742924802,0,0,0,0,0,0,0,3.131892369,1.137603603,84.3
1814,1.862019575,33.70732872,58.34328002,0,0,0,0,0.763905467,0,0,0,0,0,0,0,4.153735975,1.169730246,85.6
1815,0,34.35202912,58.74163889,0,0.898154057,0,0,0.756340259,0,0,0,0,0,0,0,4.117327283,1.134510388,80.9
1816,0,34.78666356,58.84821637,0,0.88598741,0,0,0.746094661,0,0,0,0,0,0,0,3.613896013,1.119141991,84.6
1817,0,34.62520306,58.57507542,0,1.810164771,0,0,0.742631701,0,0,0,0,0,0,0,3.132977489,1.113947552,81.2
1818,0,33.73091603,58.34923664,0,1.860687023,0,0,0.763358779,0,0,0,0,0,0,0,4.150763359,1.145038168,87.9
1819,0,33.73750652,59.35226526,0,0,0,2.221063844,0.725245337,0,0,0,0,0,0,0,2.853387122,1.110531922,72.7
1820,0,33.22284957,59.00290306,0,0.868630992,0,2.19443619,0.73147873,0,0,0,0,0,0,0,2.88248337,1.097218095,75.3
1821,0,33.65666591,59.10218813,0,0.857207309,0,2.165576359,0.721858786,0,0,0,0,0,0,0,2.413715317,1.08278818,72.1
1822,0,33.22284957,59.00290306,0,0,0,2.19443619,0.73147873,0,0.868630992,0,0,0,0,0,2.88248337,1.097218095,77.1
1823,0,33.67533317,59.1065912,0,0,0,2.164746206,0.721582069,0,0.856878707,0,0,0,0,0,2.392495546,1.082373103,73.7
1824,0,32.61070111,58.62546125,0,1.798892989,0,2.21402214,0.73800738,0,0,0,0,0,0,0,2.905904059,1.10701107,76.9
1825,0,32.61070111,58.62546125,0,0,0,2.21402214,0.73800738,0,1.798892989,0,0,0,0,0,2.905904059,1.10701107,81.2
1826,0,32.01489065,58.25965565,0,2.698929735,0,2.233597022,0.744532341,0,0,0,0,0,0,0,2.931596091,1.116798511,83.3
1827,0,32.01489065,58.25965565,0,0,0,2.233597022,0.744532341,0,2.698929735,0,0,0,0,0,2.931596091,1.116798511,85.7
1828,0,33.08167467,59.50583391,0,0,0,2.150537634,1.395561656,0,0,0,0,0,0,0,1.715854496,2.150537634,68.6
1829,0,34.66420494,59.1507039,0,0.876990538,0,0,1.4078006,0,0,0,0,0,0,0,1.730902377,2.169397646,72.2
1830,0,34.08614668,58.78928987,0,1.769499418,0,0,1.420256112,0,0,0,0,0,0,0,1.746216531,2.188591385,73.4
1831,0,33.20139697,58.78928987,0,1.769499418,0,0.884749709,1.420256112,0,0,0,0,0,0,0,1.746216531,2.188591385,75.9
1832,0,34.66420494,59.1507039,0,0,0,0,1.4078006,0,0.876990538,0,0,0,0,0,1.730902377,2.169397646,73.4
1833,0,34.08614668,58.78928987,0,0,0,0,1.420256112,0,1.769499418,0,0,0,0,0,1.746216531,2.188591385,77.2
1834,0,33.20139697,58.78928987,0,0,0,0.884749709,1.420256112,0,1.769499418,0,0,0,0,0,1.746216531,2.188591385,77.2
1835,0,33.20918106,58.78998091,0,0.884584943,0,0.884584943,1.417663765,0,0.884584943,0,0,0,0,0,1.743563481,2.185855952,76.8
1838,0,0,57.0083682,0,16.24825662,1.708507671,0,22.14086471,0,0,2.894002789,0,0,0,0,0,0,86
1839,9.886159377,0,55.03295386,0,10.00599161,0,10.12582385,14.46974236,0,0,0,0,0,0,0.479328939,0,0,89.5
1841,0,0,56.27130198,0,18.60940695,1.465576005,0.681663258,21.2338105,0,0,1.465576005,0.272665303,0,0,0,0,0,93.5
1864,0,9.813975674,63.04853327,0,0,0,4.465776294,18.95719056,0,0,0,0,0,0,0,3.714524207,0,46
1865,0,7.376508013,63.21349259,0,0,0.720244883,6.176099874,19.65068123,0,0,1.440489767,0,0,0.720244883,0,0.702238761,0,36.5
1866,0,2.89591585,62.62580352,0,0,3.09720148,6.921628466,20.34283488,0,0,2.993312123,0,0,0,0,1.123303682,0,44
1867,0,1.294987675,63.10271159,0,0,0,6.764174199,22.17584224,0,0,4.726376335,0,0,0,0,1.93590797,0,50.7
1868,0,2.462798103,62.99954513,0,0,0,6.563129508,21.48612645,0,0,4.555201767,0,0,0.061732406,0,1.871466632,0,48.9
1869,0,3.652704221,62.90483069,0,0,0,6.348900658,20.80885893,0,0,4.419836302,0,0,0.060985396,0,1.803883807,0,48.5
1870,0,3.62702616,62.90804044,0,0,0,6.368159204,20.8184882,0,0,3.784304285,0,0,0.048146365,0,2.445835339,0,49.9
1871,0,2.37398374,63.08292683,0,0,0,6.42601626,21.76585366,0,0,4.471544715,0,0,0.03902439,0,1.840650407,0,47.7
1872,0,3.625397237,62.91264025,0,0,0,5.700758804,21.16220248,0,0,4.102081847,0,0,0.045398534,0,2.451520851,0,51.4
1873,0,3.612363168,62.84288474,0,0,0,6.316806182,20.7211848,0,0,3.441725692,0,0,0.637475853,0,2.427559562,0,49.4
1874,0,3.633678939,62.91207909,0,0,0,6.349308253,20.83266459,0,0,4.750746317,0,0,0.028889674,0,1.492633133,0,49
1875,0,3.004943617,62.99718892,0,0,0,6.384697405,21.29955734,0,0,4.446024104,0,0,0.038773466,0,1.828815148,0,48.2
1876,0,3.65246975,62.90400231,0,0,0,6.348493116,20.80752319,0,0,4.419552589,0,0,0.064191033,0,1.803768014,0,48.5
1877,0,3.626560544,62.90638339,0,0,0,6.37376039,20.81260631,0,0,3.783818479,0,0,0.048140184,0,2.448730704,0,49.9
1878,0,2.380178188,63.08122521,0,0,0,6.425180464,21.75977109,0,0,4.470963127,0,0,0.042270924,0,1.840411003,0,47.7
1879,0,3.625279678,62.91060021,0,0,0,5.700573949,21.15827361,0,0,4.105191478,0,0,0.045397062,0,2.454684004,0,51.4
1880,0,1.301475663,63.10185033,0,0,0,6.763729582,22.17109804,0,0,4.726065665,0,0,0,0,1.935780721,0,50.7
1881,0,3.612130578,62.84205782,0,0,0,6.316399459,20.71985062,0,0,3.444723456,0,0,0.637434808,0,2.427403258,0,49.4
1882,0,2.902220491,62.62498377,0,0,3.09700039,6.921179068,20.33826776,0,0,2.993117777,0,0,0,0,1.123230749,0,44
1883,0,2.468975375,62.99785589,0,0,0,6.562276655,21.48008576,0,0,4.554609837,0,0,0.064973036,0,1.871223442,0,48.9
1884,0,3.004846527,62.99515347,0,0,0,6.384491115,21.29563813,0,0,4.445880452,0,0,0.042003231,0,1.831987076,0,48.2
1885,0,0,63.14208676,0,0,0,5.460937233,23.5537049,0,0,0,0,0,7.843271101,0,0,0,58.4
1886,0,0,63.90544299,0,0,0,5.979340485,24.82121573,0,0,0,0,0,5.294000795,0,0,0,45
1887,0,0,63.60142833,0,0,0,4.781499745,24.81210678,0,0,0,0,0,6.804965142,0,0,0,52.4
1888,0,0,63.66787774,0,0,0,5.999800007,24.33585547,0,0,0,0,0,5.996466784,0,0,0,50.7
1889,0,0,63.51780526,0,0,0,5.399013447,24.33610379,0,0,0,0,0,6.747077505,0,0,0,54.1
1890,0,0,63.57644409,0,0,0,6.604398516,23.85068892,0,0,0,0,0,5.968468468,0,0,0,48.7
1891,0,0,63.32237411,0,0,0,4.139124416,24.57518602,0,0,0,0,0,7.963315453,0,0,0,60.4
1892,0,0,63.39131319,0,0,0,5.404672295,24.08029024,0,0,0,0,0,7.123724274,0,0,0,55.6
1893,0,0,63.45962114,0,0,0,6.620139581,23.60917248,0,0,0,0,0,6.3110668,0,0,0,51.2
1894,0,0,63.26475089,0,0,0,5.454854617,23.80207448,0,0,0,0,0,7.478320014,0,0,0,57.1
1895,0,0,63.10652826,0,0,0,4.821188399,23.80246232,0,0,0,0,0,8.269821016,0,0,0,58.5
1896,0,0,63.01979859,0,0,0,5.460026033,23.30958416,0,0,0,0,0,8.210591217,0,0,0,59.1
1897,0,0,62.98534107,0,0,0,5.369219678,23.2860723,0,0,0,0,0,8.359366954,0,0,0,62
1898,0,0,62.90421823,0,0,0,5.824844466,22.89601422,0,0,0,0,0,8.374923087,0,0,0,59.3
1899,0,0,62.62979371,0,0,0,5.517098159,22.50103835,0,0,0,0,0,9.352069777,0,0,0,64.5
1900,0,0,63.03540396,0,0,0,5.785940641,23.1778376,0,0,1.693529151,0,0,6.30728865,0,0,0,55.9
1901,0,0,62.97143247,0,0,0,5.795419639,23.04515512,0,0,3.058124851,0,0,5.129867914,0,0,0,56.4
1902,0,0,63.26190476,0,0,0,5.448979592,23.79931973,0,0,0,0,0,6.12585034,0,1.363945578,0,57.5
1903,0,1.296758105,63.45802161,0,0,0,5.300083126,23.61762261,0,0,0,0,0,6.327514547,0,0,0,51.4
2051,0,2.914921933,62.60914727,0,0,3.106436849,6.952965235,20.28435096,0,0,3.005810368,0,0,0,0,1.126367384,0,44
2083,12.93712975,5.554493917,55.37932352,0,3.114848079,0,1.891840245,16.08701191,0,2.051086056,1.723039684,0,0,0,0,1.26122683,0,101.8
2084,30.45589255,6.532568258,44.85780945,0,5.504760704,0,1.116085503,5.681316603,0,3.619395927,2.232171007,0,0,0,0,0,0,144.9
2085,12.32288674,6.345415228,53.22596262,0,2.9693703,3.653616499,5.415873221,9.192137624,0,1.949456153,4.925281606,0,0,0,0,0,0,114.1
2086,5.719661336,6.139855754,54.45280652,0,3.443085607,3.179680151,6.290373158,10.67419254,0,6.804640953,1.903417999,0,0,0,0,1.392285983,0,123.8
2087,5.132385352,5.506747577,56.01545754,0,9.280560336,0,5.639585786,14.68164116,0,2.034839839,1.708782417,0,0,0,0,0,0,115
2088,5.295848316,5.681595293,56.10983982,0,3.190585159,3.926119647,1.935272965,15.80254985,0,6.296175221,1.76201373,0,0,0,0,0,0,109.8
2089,5.648792468,6.064947469,52.77664074,0,10.21285305,4.188838859,2.067130577,10.53690817,0,2.237685905,4.891526811,0,0,0,0,1.374675945,0,136.2
2090,11.65647959,10.00802618,51.96332654,0,8.433660554,3.454343397,2.389331358,8.696054825,0,1.846020868,1.552756683,0,0,0,0,0,0,136.5
2091,5.032182563,10.80964553,57.85162145,0,3.030396354,0,1.841643312,14.40670136,0,1.995626867,5.032182563,0,0,0,0,0,0,92
2092,12.43133854,10.67360509,54.3220584,0,2.995085285,0,5.464006938,9.274356751,0,1.971668112,1.656548135,0,0,0,0,1.211332755,0,108.3
2093,11.99875854,10.29795158,52.63811297,0,2.892613284,3.55679702,1.756672874,9.549968963,0,5.710738672,1.598386096,0,0,0,0,0,0,131.3
2094,12.84966952,5.513266297,52.06590859,0,3.094947217,0,5.644832879,9.582432729,0,6.114713529,5.134229239,0,0,0,0,0,0,126
2095,5.41025641,11.62179487,55.74679487,0,3.262820513,3.009615385,1.980769231,10.09935897,0,2.141025641,5.41025641,0,0,0,0,1.317307692,0,105.1
2096,13.44521789,5.772225931,49.55977242,0,9.726327834,0,1.970693875,10.03146753,0,6.395219478,1.78951718,0,0,0,0,1.309557865,0,164
