,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,Expansion
91,0,17.58241758,61.53846154,0,0,0,0,16.48351648,0,4.395604396,0,0,0,0,0,0,0,65
92,0,16.66666667,61.11111111,0,0,0,0,16.66666667,0,5.555555556,0,0,0,0,0,0,0,74
93,0,19.78609626,61.22994652,0,0,0,0,14.70588235,0,4.278074866,0,0,0,0,0,0,0,65
94,0,15.25423729,61.86440678,0,0,0,0,18.36158192,0,4.519774011,0,0,0,0,0,0,0,63
95,0,12.79069767,62.20930233,0,0,0,0,20.34883721,0,4.651162791,0,0,0,0,0,0,0,60
96,0,10.17964072,62.5748503,0,0,0,0,22.45508982,0,4.790419162,0,0,0,0,0,0,0,56
97,0,14.77272727,63.06818182,0,0,0,0,19.88636364,0,2.272727273,0,0,0,0,0,0,0,58
98,13.33333333,0,60,0,0,0,0,25.83333333,0,0,0,0,0,0,0.833333333,0,0,64
99,13.33333333,0,60,0,0,0,0,25,0,0,0,0,0,0,1.666666667,0,0,62
100,13.33333333,0,60,0,0,0,0,24.16666667,0,0,0,0,0,0,2.5,0,0,64
101,13.33333333,0,60,0,0,0,0,23.33333333,0,0,0,0,0,0,3.333333333,0,0,65
102,16.66666667,0,58.33333333,0,0,0,0,24.16666667,0,0,0,0,0,0,0.833333333,0,0,82
103,16.66666667,0,58.33333333,0,0,0,0,23.33333333,0,0,0,0,0,0,1.666666667,0,0,79
104,16.66666667,0,58.33333333,0,0,0,0,22.5,0,0,0,0,0,0,2.5,0,0,77
105,16.66666667,0,58.33333333,0,0,0,0,21.66666667,0,0,0,0,0,0,3.333333333,0,0,75
106,20,0,56.66666667,0,0,0,0,21.66666667,0,0,0,0,0,0,1.666666667,0,0,88
107,20,0,56.66666667,0,0,0,0,20,0,0,0,0,0,0,3.333333333,0,0,86
109,0,0,61.85600579,0,0,12.46382055,3.936324168,21.74384949,0,0,0,0,0,0,0,0,0,38.5
110,0,0,61.52234141,0,0,12.47424877,5.917454003,20.08595581,0,0,0,0,0,0,0,0,0,37
111,0,0,61.18877462,0,0,12.48387659,7.899599094,18.42774969,0,0,0,0,0,0,0,0,0,37
112,0,0,61.02228144,0,0,14.96409801,3.938115331,20.07550522,0,0,0,0,0,0,0,0,0,42.5
113,0,0,60.68857704,0,0,14.97491456,5.918708645,18.41779975,0,0,0,0,0,0,0,0,0,41.5
114,0,0,60.3534452,0,0,14.99107462,7.897179579,16.75830061,0,0,0,0,0,0,0,0,0,39
115,0,0,60.18844364,0,0,17.46320051,3.942937148,18.4054187,0,0,0,0,0,0,0,0,0,47
