,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,k_10GHz
139,0,11.00376018,63.8134531,0,0,0.514414038,7.013787341,15.4428661,2.031543764,0,0.002611239,0.078337163,0.099227073,0,0,0,0,4.21
140,0,10.79020449,63.95354708,0,0.06563999,0.01009846,7.881848018,14.35748548,2.766978036,0.01009846,0.02019692,0.058066145,0.08583691,0,0,0,0,4.18
141,0,10.59038662,63.79832811,0,0.047021944,0,7.863113898,15.96133751,1.541274817,0.010449321,0.010449321,0.073145246,0.104493208,0,0,0,0,4.26
142,0,10.90369005,63.84727664,0,0.04609357,0,7.887121969,14.99065325,2.151033264,0.010243016,0.007682262,0.064018847,0.09218714,0,0,0,0,4.22
143,0,11.31281375,64.06115309,0,0,0,7.00268749,14.70260129,2.768622281,0,0,0.065919578,0.086202525,0,0,0,0,4.06
144,0,11.85021622,63.55345405,0,0,0,7.082208969,17.24644064,0.257730122,0,0,0.005369378,0.004580616,0,0,0,0,4.2
145,0,13.0187743,63.28398678,0,0.010662387,0.018659177,6.050904516,15.50844162,1.018257941,0.003880576,1.079566665,0.002288148,0.004577896,0,0,0,0,4.34
146,0,12.71656687,63.3274465,0,0.010690683,0.018708694,6.120415748,15.69926729,1.026305523,0.003890874,1.069068253,0.00229422,0.005345341,0,0,0,0,4.33
147,0,12.19434942,63.38120501,0,0.010739189,0.018793581,6.271686534,15.96112005,1.047070954,0.003909065,1.103451698,0.002304898,0.005369595,0,0,0,0,4.37
148,0,12.79594288,63.28039504,0,0.069398105,0.096089684,6.053650073,15.53182971,1.01961831,0.010676632,0.974242626,0.061390631,0.106766315,0,0,0,0,4.36
149,0,12.17324182,63.34814558,0,0.016073823,0.013394852,6.445602953,15.78449401,1.071588188,0.003911297,1.13588348,0.002306058,0.005357941,0,0,0,0,4.41
150,0,12.40368352,63.36349236,0,0.05906516,0.01879346,5.976320241,15.91537573,1.030955513,0.01073912,1.063172873,0.06174994,0.096652079,0,0,0,0,4.38
151,0,12.804177,63.2911768,0,0.010670147,0.008002611,6.194020622,15.52506461,1.040339381,0.003889802,1.115030413,0.002293548,0.005335074,0,0,0,0,4.39
152,0,13.04394141,63.26231691,0,0.058588549,0.090545939,5.976031957,15.39813582,1.027962716,0.010652463,0.974700399,0.061251664,0.09587217,0,0,0,0,4.39
153,0,12.65341976,63.26022855,0,0.010736886,0.01878955,6.093182618,15.61948443,1.020004139,0.003901247,1.312584273,0.002300109,0.005368443,0,0,0,0,4.42
154,11.11111111,33.33333333,55.55555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
155,0,0,60.39678454,0,0,9.404823189,0,18.8136063,0,0,9.404823189,0,0,0,1.979962777,0,0,7.2
156,0,0,60,0,0,10,0,20,0,0,10,0,0,0,0,0,0,8.59
157,21.05263158,15.78947368,52.63157895,0,0,0,5.263157895,5.263157895,0,0,0,0,0,0,0,0,0,4.55
158,0,0,59.13333333,0,15.06666667,0,0,25.8,0,0,0,0,0,0,0,0,0,6.82
159,0,0,59.43333333,0,0,0,0,26.1,0,14.46666667,0,0,0,0,0,0,0,7.03
160,0,0,59.1,0,7.666666667,0,0,25.76666667,0,7.466666667,0,0,0,0,0,0,0,6.57
161,0.185276322,11.19184784,62.68708566,0.254754943,0,1.626957705,5.349853805,16.94409866,0,0,1.253510118,0.506614944,0,0,0,0,0,4.7
162,0.186779513,10.99664381,62.56238144,0.411498614,0,1.815263388,5.32321611,16.93856705,0,0,1.234495841,0.531154239,0,0,0,0,0,4.71
163,0.187183762,10.94440057,62.48135474,0.5498523,0,1.816267439,5.410780615,16.87871077,0,0,1.181597496,0.5498523,0,0,0,0,0,4.72
164,0.187754863,10.96605744,62.43729281,0.619004312,0,1.807140552,5.298207528,16.94194268,0,0,1.229207616,0.513392202,0,0,0,0,0,4.73
165,0.188468108,10.89581247,62.36232994,0.709700218,0,1.805171094,5.2947759,16.93857118,0,0,1.310442311,0.494728783,0,0,0,0,0,4.72
166,0,0,62.78323056,0,0,0,1.459481154,16.76943846,0,0,3.258291677,7.297405772,0,2.189221732,0.769876309,5.473054329,0,11.37
167,0,0,62.78323056,0,0,0,1.459481154,14.94508702,0,0,3.258291677,9.121757215,0,2.189221732,0.769876309,5.473054329,0,12.69
168,0,0,62.78323056,0,0,0,1.459481154,13.12073558,0,0,3.258291677,10.94610866,0,2.189221732,0.769876309,5.473054329,0,14.01
169,0,0,62.78323056,0,0,0,1.459481154,11.29638414,0,0,3.258291677,12.7704601,0,2.189221732,0.769876309,5.473054329,0,14.97
170,0,0,62.78323056,0,0,0,1.459481154,9.472032692,0,0,3.258291677,14.59481154,0,2.189221732,0.769876309,5.473054329,0,16.64
171,0,0,62.78323056,0,0,0,1.459481154,7.647681249,0,0,3.258291677,16.41916299,0,2.189221732,0.769876309,5.473054329,0,17.89
175,0,0,56.66666667,0,20,0,0,23.33333333,0,0,0,0,0,0,0,0,0,7.7
176,0,0,56.66666667,0,0,0,0,23.33333333,0,20,0,0,0,0,0,0,0,7.8
1,0,0,66.66666667,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,0,3.79
2,20,0,56.66666667,0,0,0,0,23.33333333,0,0,0,0,0,0,0,0,0,6.685
