,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,Thermal_Conductivity_RT
433,0,0,56.02790117,0,0,2.429205997,18.53831205,2.786646308,0,0,20.21793448,0,0,0,0,0,0,2.700271372
434,0,0,58.58777334,0,0,2.28488254,15.12422991,9.613431724,0,0,14.38968249,0,0,0,0,0,0,1.988508587
435,0,0,58.91034483,0,0,2.282758621,13.2137931,11.2137931,0,0,14.37931034,0,0,0,0,0,0,1.133286853
436,0,0,59.23936614,0,0,2.258548791,14.79899917,11.07923269,0,0,12.62385321,0,0,0,0,0,0,1.655144385
437,0,0,59.36464088,0,0,2.268646409,12.20994475,12.62430939,0,0,13.53245856,0,0,0,0,0,0,1.484200051
438,0,0,59.94476092,0,0,2.250992577,11.0616261,14.35870879,0,0,12.38391162,0,0,0,0,0,0,1.133286853
449,0,2.404102291,60.01598295,0,9.39664358,1.012253596,1.158763985,23.04541822,0,0.386254662,2.470697922,0,0.026638253,0,0.083244539,0,0,0.769610411
452,0,1.762662997,59.90105498,0,10.63495184,0,1.284319507,23.83854269,0,0.864949872,1.461241072,0.127776686,0.12450036,0,0,0,0,0.676586485
456,0,0,59.74189487,0,0,1.290525653,17.56373938,10.70192005,0,0,10.70192005,0,0,0,0,0,0,2.623642645
457,0,0,59.375,0,0,1.28125,18.75,9.375,0,0,11.21875,0,0,0,0,0,0,2.623642645
458,0,0,36.5,13.5,0,0.9,4.75,0,21.2,0,4.3,0,0,1.45,0,17.4,0,-4.301677207
459,0,0,28.65,21.35,0,7.6,7.25,0,16.3,0,4.6,0,0,5.9,0,8.35,0,-2.40544066
461,0,0,29.7,20.3,0,2.35,5.55,0,16.55,0,5.35,0,0,0,0,20.2,0,-4.486336035
462,0,0,29.7,20.3,0,2.35,5.55,0,16.55,0,3.7,0,0,1.65,0,20.2,0,-4.582331736
463,0,0,28.63,21.33,0,7.6,7.25,0,16.29,0,1.25,0,0,9.3,0,8.35,0,-2.547632257
465,0,0,28.63,21.34,0,4.25,7.25,0,16.29,0,1.25,0,0,9.3,0,11.69,0,-3.261457389
466,0,0,28.65,21.35,0,0.7,7.25,0,16.3,0,1.25,0,0,9.3,0,15.2,0,-4.433227507
467,0,0,28.67,21.36,0,0.7,7.25,0,16.31,0,7.95,0,0,2.55,0,15.21,0,-3.697601835
468,0,0,60.27042875,0,10.47221552,0,0,25.77696527,0,0,3.480390466,0,0,0,0,0,0,-1.625189295
469,0,3.266557781,59.67467751,0,10.71964268,0,0,23.07589747,0,0,3.263224559,0,0,0,0,0,0,-1.053605157
476,0,1.152980877,60.41549494,0,2.516872891,2.653965129,0.653824522,22.06482002,0,4.541619798,4.608408324,0,0,0,1.392013498,0,0,4.054651081
477,0,0,60.9356144,0,2.477461489,2.292894158,0.354937176,23.45779797,0,4.308937318,4.543195854,0,0,0,1.629161638,0,0,2.623642645
479,0,0,60.44584277,0,0.782718797,0,0.283927407,21.79334689,0,1.304531328,0,0,0,0,0,0,15.38963281,-4.76424197
496,0,0,59.88387885,0,7.096292272,0.237674861,1.378514193,23.50264838,0,3.252750238,0.292000543,0,0.597582507,1.938747793,0.451582236,1.368328127,0,1.257512053
497,0,0,59.88565663,0,6.927862788,0.232049773,1.345216075,22.95274929,0,3.181436018,0.282495376,0,1.513368085,1.896754666,0.443921305,1.338489995,0,1.397619424
498,0,0,59.8833311,0,6.872737026,0.234678825,1.334316749,22.76719861,0,3.158106477,0.28161459,0,1.817084618,1.884135711,0.439184659,1.32761164,0,2.623642645
503,0,6.572307692,63.84615385,0,3.076923077,0,1.12,25.38461538,0,0,0,0,0,0,0,0,0,1.823215568
505,0,4.701884461,62.86376274,0,3.299351251,0,3.614457831,23.15724436,0,0.871177016,0.729070127,0,0,0,0.497374112,0.265678097,0,0.953101798
513,0,6.173597887,56.93838688,0,14.12863198,0,4.392161681,15.65820996,0,0,2.70901161,0,0,0,0,0,0,-2.181560098
514,0,6.657471264,63.39310345,0,3.739463602,0,1.514176245,24.4137931,0,0,0,0,0,0,0.156321839,0.125670498,0,1.823215568
