,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,Thermal_Conductivity_RT
46,19.63333333,0,56.85,0,0,0,0,22.86333333,0,0,0,0.653333333,0,0,0,0,0,-1.625189295
47,19.42666667,0,56.95333333,0,0,0,0,22.61,0,0,0,1.01,0,0,0,0,0,-2.876820725
48,19.19333333,0,57.07,0,0,0,0,22.34333333,0,0,0,1.393333333,0,0,0,0,0,-4.462871026
50,0,0,56.89666667,0,0,0,0,8.75,0,19.54,0,14.81333333,0,0,0,0,0,5.766133643
51,0,0,58.49,0,0,0,0,10.68666667,0,16.35333333,0,14.47,0,0,0,0,0,6.205764877
52,0,0,60.00666667,0,0,0,0,12.53333333,0,13.32,0,14.14,0,0,0,0,0,7.466879475
53,0,0,60.10934427,0,0,0,0,14.39810648,0,13.1146448,0,12.37790446,0,0,0,0,0,9.122827105
54,0,0,61.45666667,0,0,0,0,14.29666667,0,10.42,0,13.82666667,0,0,0,0,0,8.501509294
64,0,0,61.12122565,0,3.551921954,0,0.535879908,26.23750472,0,4.974064787,0,0,0,0,0,0,3.579402975,-1.743533871
66,0,0,52.37769649,0,26.87087621,0,0,18.19083108,0,0,2.560596219,0,0,0,0,0,0,-4.700036292
68,0,0,53.34374512,0,24.54474465,0,6.30329533,15.8082149,0,0,0,0,0,0,0,0,0,-3.974969385
69,23.22,0,55.05666667,0,0,0,0,21.72333333,0,0,0,0,0,0,0,0,0,-1.042500214
70,23.06622517,0,55.02317881,0,0,0,0,21.24834437,0,0,0,0,0.662251656,0,0,0,0,-1.18783536
75,0,6.25,53.125,0,25,0,0,15.625,0,0,0,0,0,0,0,0,0,-6.01479992
76,0,11.76470588,55.88235294,0,17.64705882,0,0,14.70588235,0,0,0,0,0,0,0,0,0,-3.856624808
79,0,4.275686024,57.46649649,0,16.97511168,0,0,21.28270581,0,0,0,0,0,0,0,0,0,-3.495574762
80,0,8.14451929,59.18554807,0,12.24739743,0,0,20.42253521,0,0,0,0,0,0,0,0,0,-1.142891464
83,0,3.225806452,59.67741935,0,12.90322581,0,0,24.19354839,0,0,0,0,0,0,0,0,0,-0.682788408
84,0,6.25,60.9375,0,9.375,0,0,23.4375,0,0,0,0,0,0,0,0,0,0
90,11.62665951,0,58.72334719,0,0,4.452192571,3.875553172,21.32224755,0,0,0,0,0,0,0,0,0,1.484200051
93,16.12723214,0,57.05915179,0,0,2.315848214,0,22.18191964,0,0,2.315848214,0,0,0,0,0,0,0.392207132
94,16.12723214,0,57.05915179,0,0,3.473772321,0,22.18191964,0,0,1.157924107,0,0,0,0,0,0,0.582689081
95,16.12723214,0,57.05915179,0,0,4.631696429,0,22.18191964,0,0,0,0,0,0,0,0,0,0.769610411
96,0,0,60.13069636,0,9.190235807,0.867851463,0.684599959,24.85651061,0,0.698430261,3.530184635,0,0.013830302,0,0,0.027660604,0,-0.408219945
97,0,7.025300909,64.02910833,0,2.161631049,0,0.859739622,25.43908131,0,0.485138787,0,0,0,0,0,0,0,1.406311297
98,0,2.837155072,66.09016712,0,0,0,0,30.86539707,0,0.207280736,0,0,0,0,0,0,0,3.818552425
111,0,0,60.77941544,0,0,0,7.073266479,18.02219764,0,0,0,0,0,0,0,14.12512045,0,19.01808974
112,0,0,61.91340149,0,0,0,6.391961202,20.63082237,0,0,0,0,0,0,0,11.06381494,0,20.19558832
113,0,4.800216348,60.68555202,0,0,0,6.226759516,15.85761612,0,0,0,0,0,0,0,12.42985599,0,19.01808974
114,0,2.810676427,61.50685405,0,0,0,5.124132454,19.04630365,0,0,0,0,0,0,0,11.51203342,0,19.6234577
115,0,4.098697738,60.59287183,0,0,0.161069225,6.189170665,16.04180946,0,0,0.887594243,0,0,0,0,12.02878684,0,19.01808974
116,0,2.198265267,60.5541314,0,0,0.256347228,6.468377989,16.77494118,0,0,0,0,0,1.169364751,0,12.57857218,0,19.01808974
118,5.286075333,1.132730428,62.71733504,0,0,0,6.979081027,22.37447094,0.274047684,0,0,1.236259554,0,0,0,0,0,2.27932068
119,0,8.645114421,63.5579368,0,1.82225451,0.932316261,1.477176414,23.16563749,0,0.399564112,0,0,0,0,0,0,0,2.27932068
121,0,33.66547163,58.42502163,0,0,0,0,0,0,0,0,0,0.034614909,0,0,0,7.874891828,16.98364122
122,0,33.5416924,58.43113033,0,0,0,0,0,0,0,0,0,0.182828907,0,0,0,7.844348363,17.02928256
123,0,33.39505716,58.43764659,0,0,0,0,0,0,0,0,0,0.35552922,0,0,0,7.81176703,17.06746095
124,0,33.09263869,58.45183232,0,0,0,0,0,0,0,0,0,0.714690588,0,0,0,7.740838406,17.15058394
125,0,32.21598293,58.49292563,0,0,0,0,0,0,0,0,0,1.755719575,0,0,0,7.535371864,17.24015817
126,0,30.86206477,58.55616925,0,0,0,0,0,0,0,0,0,3.362612229,0,0,0,7.219153751,17.36246759
127,0,26.64708351,56.67525928,0,0,0,0,0,0,0,0,0,0.0539536,0,0,0,16.62370361,14.63718258
128,0,26.49073991,56.69449182,0,0,0,0,0,0,0,0,0,0.287227358,0,0,0,16.52754091,14.70405704
129,0,26.3096624,56.71770992,0,0,0,0,0,0,0,0,0,0.561177278,0,0,0,16.4114504,14.80467531
130,0,25.93428792,56.76430396,0,0,0,0,0,0,0,0,0,1.122927931,0,0,0,16.17848019,14.83421072
131,0,24.87836333,56.89665279,0,0,0,0,0,0,0,0,0,2.708247846,0,0,0,15.51673603,15.01407168
132,0,23.29695577,57.09362435,0,0,0,0,0,0,0,0,0,5.077541643,0,0,0,14.53187823,15.11604552
139,0,2.440556897,62.37309435,0,0,3.693905222,6.680115083,20.18585271,0,0,3.793114852,0,0,0,0,0.833360892,0,2.608246183
