,Li,B,O,F,Na,Mg,Al,Si,P,K,Ca,Ti,Fe,Sr,Zr,Ba,Pb,loss
375,1.352390719,5.922317652,61.7709268,0.455069863,0.307652865,4.752595821,4.537879759,19.51352391,0,0.160235867,1.022304833,0.121779259,0.083322651,0,0,0,0,5.683979847
377,0,6.349812305,62.71234969,0.916205383,0.53445314,2.86632309,4.014761087,21.30177515,0,0.006362537,1.148437997,0.104981867,0.044537762,0,0,0,0,5.914503506
383,0,11.84874694,61.88269327,1.080379018,0.023614842,3.512707737,5.27201346,16.15550373,0,0,0.05608525,0.115122354,0.053133394,0,0,0,0,6.812445099
396,0,12.12310311,62.19826975,1.214012197,0.028364771,0.502056446,6.66004822,16.05729684,0,0,1.009785846,0.144660332,0.062402496,0,0,0,0,7.264430223
399,0,8.167245688,64.38715183,0,1.700493692,0,0.408362284,25.33674651,0,0,0,0,0,0,0,0,0,5.952243834
400,0,16.35080098,62.47895737,0,0.206353516,0.06244909,4.132500679,14.84387727,0,0.048873201,1.87618789,0,0,0,0,0,0,6.907755279
401,0,16.486683,62.61815636,0,0.204669701,0.053860448,4.131096329,15.07015323,0,0.080790671,1.354590257,0,0,0,0,0,0,6.907755279
402,0,17.67422111,62.46218354,0,0.2441484,0,4.017833448,14.23225943,0,0.063690887,1.305663181,0,0,0,0,0,0,6.907755279
24,1.71285291,4.643589827,62.04044417,0.589403758,0.013025497,4.861766909,4.350516135,20.94499984,0,0.013025497,0.70337686,0.068383861,0.058614738,0,0,0,0,6.536191723
25,0.011589164,12.44676228,62.08315225,1.080689555,0.023178328,0.915543966,5.354193829,16.22193249,0,0,1.694915254,0.115891641,0.052151239,0,0,0,0,7.13089883
26,0.506064043,12.10481924,61.89105081,1.07902161,0.023267312,0.919058837,5.363115493,16.24930925,0,0,1.695605386,0.116336562,0.052351453,0,0,0,0,6.725433722
27,0.751173709,11.74295775,61.76643192,1.053403756,0.023474178,1.889671362,5.211267606,16.35856808,0,0,1.038732394,0.111502347,0.052816901,0,0,0,0,6.43775165
34,0,12.09596997,61.92291899,0.953246906,0.023464539,2.308324045,5.320584267,15.9617528,0,0,1.246553646,0.114389629,0.052795213,0,0,0,0,6.645391015
35,0,12.24095539,61.94532256,0.960074933,0.023416462,2.177730945,5.251141553,15.97588104,0,0,1.25863482,0.114155251,0.052687039,0,0,0,0,6.725433722
36,0,12.9898014,62.31036529,1.065062011,0.022600785,0.833403961,5.814052038,16.14261096,0,0,0.644122383,0.127129418,0.050851767,0,0,0,0,7.13089883
37,0,13.29937589,62.35201925,1.083093112,0.022389522,0.442193054,5.950015393,16.01970278,0,0,0.65209482,0.12873975,0.050376424,0,0,0,0,7.418580903
